sick_cd,sick_nm,sickCd,sickEngNm,sickNm
A00,Cholera,A00,Cholera,콜레라
A01,Typhoid and paratyphoid fevers,A01,Typhoid and paratyphoid fevers,장티푸스 및 파라티푸스
A02,Other salmonella infections,A02,Other salmonella infections,기타 살모넬라감염
A03,Shigellosis,A03,Shigellosis,시겔라증
A04,Other bacterial intestinal infections,A04,Other bacterial intestinal infections,기타 세균성 장감염
A05,"Other bacterial foodborne intoxications, NEC",A05,"Other bacterial foodborne intoxications, NEC",달리 분류되지 않은 기타 세균성 음식매개중독
A06,Amoebiasis,A06,Amoebiasis,아메바증
A07,Other protozoal intestinal diseases,A07,Other protozoal intestinal diseases,기타 원충성 장질환
A08,Viral and other specified intestinal infections,A08,Viral and other specified intestinal infections,바이러스성 및 기타 명시된 장감염
A09,Other gastroenteritis and colitis of infectious and unspecified origin,A09,Other gastroenteritis and colitis of infectious and unspecified origin,감염성 및 상세불명 기원의 기타 위장염 및 결장염
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",세균학적 및 조직학적으로 확인된 호흡기결핵
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵
A17,Tuberculosis of nervous system,A17,Tuberculosis of nervous system,신경계통의 결핵
A18,Tuberculosis of other organs,A18,Tuberculosis of other organs,기타 기관의 결핵
A19,Miliary tuberculosis,A19,Miliary tuberculosis,좁쌀결핵
A20,Plague,A20,Plague,페스트
A21,Tularaemia,A21,Tularaemia,야생토끼병
A22,Anthrax,A22,Anthrax,탄저병
A23,Brucellosis,A23,Brucellosis,브루셀라병
A24,Glanders and Melioidosis,A24,Glanders and Melioidosis,마비저 및 유사비저
A25,Rat-bite fevers,A25,Rat-bite fevers,쥐물음열
A26,Erysipeloid,A26,Erysipeloid,유사단독
A27,Leptospirosis,A27,Leptospirosis,렙토스피라병
A28,"Other zoonotic bacterial diseases, NEC",A28,"Other zoonotic bacterial diseases, NEC",달리 분류되지 않은 기타 동물매개의 세균성 질환
A30,Leprosy[Hansen’s disease],A30,Leprosy[Hansen’s disease],나병[한센병]
A31,Infection due to other mycobacteria,A31,Infection due to other mycobacteria,기타 형태의 마이코박테리아에 의한 감염
A32,Listeriosis,A32,Listeriosis,리스테리아증
A33,Tetanus neonatorum,A33,Tetanus neonatorum,신생아파상풍
A34,Obstetrical tetanus,A34,Obstetrical tetanus,산과적 파상풍
A35,Other tetanus,A35,Other tetanus,기타 파상풍
A36,Diphtheria,A36,Diphtheria,디프테리아
A37,Whooping cough,A37,Whooping cough,백일해
A38,Scarlet fever,A38,Scarlet fever,성홍열
A39,Meningococcal infection,A39,Meningococcal infection,수막알균감염
A40,Streptococcal sepsis,A40,Streptococcal sepsis,연쇄알균패혈증
A41,Other sepsis,A41,Other sepsis,기타 패혈증
A42,Actinomycosis,A42,Actinomycosis,방선균증
A43,Nocardiosis,A43,Nocardiosis,노카르디아증
A44,Bartonellosis,A44,Bartonellosis,바르토넬라병
A46,Erysipelas,A46,Erysipelas,단독(丹毒)
A48,"Other bacterial diseases, NEC",A48,"Other bacterial diseases, NEC",달리 분류되지 않은 기타 세균성 질환
A49,Bacterial infection of unspecified site,A49,Bacterial infection of unspecified site,상세불명 부위의 세균감염
A50,Congenital syphilis,A50,Congenital syphilis,선천매독
A51,Early syphilis,A51,Early syphilis,조기매독
A52,Late syphilis,A52,Late syphilis,만기매독
A53,Other and unspecified syphilis,A53,Other and unspecified syphilis,기타 및 상세불명의 매독
A54,Gonococcal infection,A54,Gonococcal infection,임균감염
A55,Chlamydial lymphogranuloma(venereum),A55,Chlamydial lymphogranuloma(venereum),클라미디아림프육아종(성병성)
A56,Other sexually transmitted chlamydial diseases,A56,Other sexually transmitted chlamydial diseases,기타 성행위로 전파되는 클라미디아질환
A57,Chancroid,A57,Chancroid,무른궤양
A58,Granuloma inguinale,A58,Granuloma inguinale,사타구니육아종
A59,Trichomoniasis,A59,Trichomoniasis,편모충증
A60,Anogenital herpesviral [herpes simplex] infection,A60,Anogenital herpesviral [herpes simplex] infection,항문생식기의 헤르페스바이러스[단순헤르페스]감염
A63,"Other predominantly sexually transmitted diseases, NEC",A63,"Other predominantly sexually transmitted diseases, NEC",달리 분류되지 않은 기타 주로 성행위로 전파되는 질환
A64,Unspecified sexually transmitted disease,A64,Unspecified sexually transmitted disease,상세불명의 성매개질환
A65,Nonvenereal syphilis,A65,Nonvenereal syphilis,비성병성 매독
A66,Yaws,A66,Yaws,요스
A67,Pinta[carate],A67,Pinta[carate],핀타
A68,Relapsing fevers,A68,Relapsing fevers,재귀열
A69,Other spirochaetal infections,A69,Other spirochaetal infections,기타 스피로헤타감염
A70,Chlamydia psittaci infection,A70,Chlamydia psittaci infection,클라미디아 시타시 감염
A71,Trachoma,A71,Trachoma,트라코마
A74,Other diseases caused by chlamydiae,A74,Other diseases caused by chlamydiae,클라미디아에 의한 기타 질환
A75,Typhus fever,A75,Typhus fever,발진티푸스
A77,Spotted fever [tick-borne rickettsioses],A77,Spotted fever [tick-borne rickettsioses],홍반열[진드기매개 리케차병]
A78,Q fever,A78,Q fever,큐열
A79,Other rickettsioses,A79,Other rickettsioses,기타 리케차병
A80,Acute poliomyelitis,A80,Acute poliomyelitis,급성 회색질척수염
A81,Atypical virus infections of central nervous system,A81,Atypical virus infections of central nervous system,중추신경계통의 비정형바이러스감염
A82,Rabies,A82,Rabies,광견병
A83,Mosquito-borne viral encephalitis,A83,Mosquito-borne viral encephalitis,모기매개바이러스뇌염
A84,Tick-borne viral encephalitis,A84,Tick-borne viral encephalitis,진드기매개바이러스뇌염
A85,"Other viral encephalitis, NEC",A85,"Other viral encephalitis, NEC",달리 분류되지 않은 기타 바이러스뇌염
A86,Unspecified viral encephalitis,A86,Unspecified viral encephalitis,상세불명의 바이러스뇌염
A87,Viral meningitis,A87,Viral meningitis,바이러스수막염
A88,"Other viral infections of central nervous system, NEC",A88,"Other viral infections of central nervous system, NEC",달리 분류되지 않은 중추신경계통의 기타 바이러스감염
A89,Unspecified viral infection of central nervous system,A89,Unspecified viral infection of central nervous system,중추신경계통의 상세불명의 바이러스감염
A90,Dengue fever [classical dengue],A90,Dengue fever [classical dengue],뎅기열[고전적 뎅기]
